name,website,schedule,latitude,longitude,address
18th Street Farmer's Market,,06/07/2014 to 09/27/2014 Sat: 8:00 AM-11:00 AM;,-103.662538,41.864268,"18th and Broadway Scottsbluff, Nebraska 69361"
18th Street Farmers Market,,06/07/2014 to 10/04/2014 Sat: 8:00 AM-12:00 PM;,-88.163254,39.490737,"825 18th Street Charleston, Illinois 61920"
2014 Wood County Farmers' Market,,06/06/2013 to 10/31/2013 Thu: 9:00 AM-5:00 PM;Sat: 8:00 AM-12:00 PM;,-89.831575,44.394819,"555 W. Grand Ave. Wisconsin Rapids, Wisconsin 54495"
20th Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,06/28/2014 to 11/01/2014 Sat: 8:30 AM-2:00 PM;,-73.994358,40.404837,"71 Waterwitch Avenue Highlands, New Jersey 7732"
21st Street Farmers Market,,06/05/2015 to 10/30/2015 Fri: 7:30 AM-12:00 PM;,-95.714514,39.028184,"SW 21st and Oakley Topeka, Kansas 66604"
22nd and Tasker Farmers' Market,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,06/01/2015 to 11/01/2015 Tue: 2:00 PM-6:00 PM;,-75.181286,39.932257,"22nd and Tasker Streets Philadelphia, Pennsylvania 19146"
25th Avenue Farmers' Market,http://www.pcfma.com/market_home.php?market_id=40,May to October Tue:4:00 PM - 7:30 PM;,-122.3098753,37.5433429,"194 W 25th Avenue San Mateo, California 94403"
25th Street Market - North Logan at the Library Summer 20015,,06/06/2015 to 10/17/2015 Sat: 9:00 AM-1:00 PM;,-111.820523,41.778125,"435 East 2500 North North Logan, Utah 84341"
26th and Allegheny,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,06/01/2015 to 11/15/2015 Wed: 1:00 PM-5:00 PM;,-75.1722883,40.0040946,"26th Street and W Allegheny Avenue Philadelphia, Pennsylvania 19129"
29th and Wharton Farmers' Market,http://thefoodtrust.org/farmers-markets/market/29th-wharton,06/01/2015 to 11/15/2015 Tue: 2:00 PM-6:00 PM;,-75.19204,39.9373,"29th and Wharton Streets Philadelphia, Pennsylvania 19146"
2nd Street Farmers' Market,http://secondstageAmherst.org,04/23/2015 to 10/29/2015 Thu: 4:00 PM-6:00 PM;,-79.048573,37.583311,"194 second street Amherst, Virginia 24521"
3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,05/10/2014 to 10/11/2014 Sat: 8:00 AM-2:00 PM;,-88.425186,41.356383,"123 W. Illinois ave. Morris, Illinois 60450"
30A Farmers' Market,,01/18/2015 to 01/05/2020 Sun: 9:00 AM-1:00 PM;,-86.002754,30.279017,"Rosmary Beach Town Center Rosemary Beach, Florida 32461"
32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,01/01/2013 to 12/31/2013 Sat: 7:00 AM-12:00 PM;,-76.611,39.3272,"E. 32nd & Barclay Street Baltimore, Maryland 21218"
33rd and Diamond Farmers' Market,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,06/01/2015 to 11/01/2015 Thu: 2:00 PM-6:00 PM;,-75.187167,39.988802,"N 33rd and Diamond Streets Philadelphia, Pennsylvania 19121"
38th & Meridian Farmers Market,,June to October Thu:4:00 PM - 6:30 PM;,-86.15875,39.82604,"3808 North Meridian Street Indianapolis, Indiana 46208"
3rd & Curry St. Farmers Market,http://www.carsonfarmersmarket.com,June to September Sat:8:30 AM - 1:30 PM;,-119.7678,39.16257,"3rd & Curry Street Carson City, Nevada 89703"
441 Ministries Farm Stand,,Tue: 3:00 PM-7:00 PM;,-77.5666043,43.1658344,"441 Parsells Avenue Rochester, New York 14609"
4th and Lehigh Farmers' Market,http://thefoodtrust.org/farmers-markets/market/fairhill-square,06/01/2015 to 11/22/2015 Tue: 1:00 PM-5:00 PM;,-75.138654,39.991748,"N 4th Street and W. Lehigh Avenue Philadelphia, Pennsylvania 19133"
4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,,-105.073,40.3954,"315 East 4th St. Larimer, Colorado "
52 & Shadeland Avenue Farmers Market,,,-86.0476,39.8481,"5200 N. Shadeland Avenue Indianapolis, Indiana 46226"
52nd and Haverford Farmers' Market,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,06/01/2015 to 11/15/2015 Wed: 1:00 PM-5:00 PM;,-75.224492,39.965054,"N 52nd Street and Haverford Avenue Philadelphia, Pennsylvania 19139"
57th Street Greenmarket,http://www.grownyc.org,04/20/2013 to 12/21/2013 Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,-73.985839,40.768159,"W 57 St. & 9 Ave New York, New York 10019"
58th and Chester Farmers' Market,http://thefoodtrust.org/farmers-markets/market/58th-chester,06/01/2015 to 11/01/2015 Wed: 2:00 PM-6:00 PM;,-75.228303,39.935721,"58th Street and Chester Avenue Philadelphia, Pennsylvania 19143"
61st Street Farmers Market,http://www.experimentalstation.org/farmers-market,01/25/2014 to 04/26/2014 Sat: 9:00 AM-2:00 PM;,-87.590793,41.784342,"6100 S Blackstone Chicago, Illinois 60637"
6th Ave Farmers Market,http://www.tacomafarmersmarket.com,05/06/2014 to 09/30/2014 Tue: 3:00 PM-7:00 PM;,-122.4736263,47.255403,"6th and Pine Tacoma, Washington 98406"
79th Street Greenmarket,http://www.grownyc.org,01/01/2013 to 12/31/2013 Sun: 8:00 AM-5:00 PM;,-73.9757,40.7818,"Columbus - W 78 & 81 Sts. New York, New York 10024"
82nd Street Greenmarket,http://www.grownyc.org,01/01/2013 to 12/31/2013 Sat: 9:00 AM-2:30 PM;,-73.95009,40.773749,"E 82nd St. - 1st & York Ave New York, New York 10028"
84 west farmers market (Dothan),,06/06/2013 to 08/08/2013 Thu: 3:00 PM-6:00 PM;,-85.449944,31.232252," Dothan, Alabama "
8th Avenue City Farmers Market,,May to October Tue:4:00 PM - 6:00 PM;Sat:7:30 AM - 12:00 PM;,-91.6626534,41.972837,"8th Ave & 2nd St SE Cedar Rapids, Iowa 52401"
92nd Street Greenmarket,http://www.grownyc.org,06/23/2013 to 11/24/2013 Sun: 9:00 AM-4:00 PM;,-73.946421,40.780931,"1st Ave - E 92nd & 93 Sts. New York, New York 10128"
97th Street Greenmarket,http://www.grownyc.org,01/01/2013 to 12/31/2013 Fri: 8:00 AM-2:00 PM;,-73.967012,40.79356,"W 97 St. & Columbus New York, New York 10025"
9th West Farmers Market,http://www.9thwestfarmersmarket.org,05/12/2013 to 10/20/2013 Sun: 9:00 AM-2:00 PM;,-111.91753,40.747999,"1000 South 900 West SALT LAKE CITY, Utah 84110"
A + Organic Farmers Market,http://organicgrowndirect.com/,,-80.221052,26.489351,"Lee Rd. Farm Boynton Beach, Florida 33473"
A Better Choice Bakery & Market,,January to December Mon:12:00 PM - 5:00 PM;Tue:12:00 PM - 5:00 PM;Wed:12:00 PM - 5:00 PM;Thu:12:00 PM - 5:00 PM;Fri:12:00 PM - 5:00 PM;Sat:10:00 AM - 5:00 PM;sun:12:00 PM - 5:00 PM;,-77.6277075,39.313066,"27 W Potomac Street Brunswick, Maryland 21716"
A Growers' Market,,01/01/2014 to 12/31/2014 Wed: 3:00 PM-6:30 PM;,-84.2792304,30.4624713,"229 Lake Ella Drive Tallahassee, Florida 32303"
A Kentucky Farmer's Market LLC,,June to October Tue:7:00 AM - 4:00 PM;Fri:7:00 AM - 4:00 PM;Sat:7:00 AM - 2:00 PM;,-85.076795,37.032535,"2349 S Hwy 127 Russell Springs, Kentucky 42642"
AAFFA Community Farmers Market,,05/06/2014 to 09/23/2014 Tue: 5:00 PM-8:00 PM;,-82.652159,34.506706,"402 North Murray Avenue Anderson, South Carolina 29624"
AAMC Farmers's Market,,,-76.6123,39.006,"2001 Medical Parkway, Sajak Pavilion Annapolis, Maryland 21401"
Abbeville Farmers Market,,06/06/2013 to 10/04/2013 Thu: 4:00 PM-8:00 PM;Fri: 7:00 AM-12:00 PM;,-82.380242,34.177429,"118 Trinity Street at Livery Stable Abbeville, South Carolina 29620"
ABBEVILLE FARMERS MARKET,,06/06/2014 to 07/25/2014 Fri: 3:00 PM-6:00 PM;,-85.250365,31.571271,"Kirkland Street Abbeville, Alabama "
Abbotsford Farmers Market,,May to October Tue:1:30 PM - 5:30 PM;,-90.307145,44.945665,"1011 East Spruce St. Abbotsford, Wisconsin 54405"
Abbott Northwestern Farmers Market,http://www.iatp.org/minimarkets,,-93.2629,44.9556,"800 E 28th St Minneapolis, Minnesota "
Aberdeen Farmers Market,http://www.dakotaflavor.com/category.asp?catid=12,,-98.4866,45.4631,"2nd Ave., S.E. & S. Lincoln Street Aberdeen, South Dakota 57401"
Abilene Farmers Market,,,-97.2139,38.9153,"East 1st & Buckeye St. Abilene, Kansas 67410"
Abingdon Farmers Market,http://www.abingdonfarmersmarket.com,04/20/2013 to 03/22/2014 Tue: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,-81.977406,36.708734,"Remsburg Drive and Cummings Street Abingdon, Virginia 24210"
Abingdon Square Greenmarket,http://www.grownyc.org,01/01/2013 to 12/31/2013 Sat: 8:00 AM-2:00 PM;,-74.00528,40.737177,"W12 St. & 8th Ave New York, New York 10014"
Abington,http://www.abingtonsage.com,07/13/2013 to 09/21/2013 Sat: 9:00 AM-12:00 PM;,-70.9369,42.119,"362 Plymouth Street Abington, Massachusetts 2351"
Abington Farmers Market,,,-75.7746,41.425,"12055 Rose Drove Clarks Summit, Pennsylvania "
Abita Springs Farmers Market,,01/01/2015 to 12/31/2015 Sun: 12:00 AM-4:00 PM;,-90.0389129,30.4793215,"22049 Main St. Abita Springs, Louisiana 70420"
ABQ Uptown Growers' Market,http://www.abquptowngrowersmarket.org,10/25/2014 to Sat: 7:00 AM-12:00 PM;,-106.565838,35.103988,"NE parking lot of ABQ Uptown shopping center Albququerque, New Mexico "
ABV Farm Market,http://www.appleblossomvillage.com/,,-75.0998,40.8743,"690 Allegheny Road Mount Bethe, Pennsylvania 18343"
Acadia Farmers' Market in Town Hill,,,-68.9716,44.5908," Town Hill, Maine "
Acadiana Farmers Market,,,-92.0634,30.2147,"801 Foreman Drive Opelousas, Louisiana 70570"
Ace Farmers Market,,,-75.4541,43.2098,"115 Black River Blvd Rome, New York "
Acme Ranch Truck Patch,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1877,Mon: 9:00 AM-5:00 PM;Tue: 9:00 AM-5:00 PM;Wed: 9:00 AM-5:00 PM;Thu: 9:00 AM-5:00 PM;Fri: 9:00 AM-5:00 PM;Sat: 9:00 AM-5:00 PM;,-91.492638,36.991165,"RR1 Box 146 Birch Tree, Missouri 65438"
Acreage Green Market,http://Www.AcreageGreenMarket.com,05/31/2015 to 05/29/2016 Sun: 9:00 AM-2:00 PM;,-80.263351,26.775639,"6701 140th Ave. North Loxahatchee, Florida 33470"
Acton-Boxborough Farmers Market,http://www.ABFarmersMarket.org,"June 19, 2012 to October 21, 2012 sun:10:00 AM - 1:00 PM;",-71.47415,42.47518,"1 Pearl St Acton, Massachusetts 1720"
Acushnet Farmers Market,http://www.acushnetfarmersmarket.com,06/06/2015 to 09/26/2015 Sat: 9:00 AM-1:00 PM;,-70.900663,41.720547,"186 Leonard Street Acushnet, Massachusetts 2743"
Acworth Farmers Market,,,-84.6767,34.0657,"Main and Lemon Streets Acworth, Georgia "
Ada Farmer's Market,,04/01/2010 to 11/31/2010 Wed: 7:00 AM-;Sat: 7:00 AM-;,-96.679869,34.773589,"12th Street and Townsend Ada, Oklahoma 74820"
Ada Farmers' Market,http://www.adafarmersmarket.com,06/09/2015 to 10/27/2015 Tue: 11:00 AM-4:00 PM;,-85.4889683,42.9553715,"7239 Thornapple River Dr. Ada, Michigan 49301"
AdairCo Farmers Market,,,-85.297,37.1043,"409 Fairground Street, Adair County co-op ext service parking lot Columbia, Kentucky "
Adairsville Farmers' Market,http://www.adairsvillefarmersmarket.com,06/07/2014 to 09/27/2014 Sun: 8:00 AM-11:30 PM;,-84.929569,34.375727,"7446 Ga 140 Adairsville, Georgia 30103"
Adams County Farmers' Market Association (PA),http://www.acfarmersmarkets.org,05/06/2015 to 10/28/2015 Wed: 2:00 PM-6:00 PM;,-77.235048,39.819638,"297 Steinwehr Ave at Culp Street Gettysburg borough, Pennsylvania 17325"
Adams County Farmers' Market Association (PA),http://www.acfarmersmarkets.org,05/09/2015 to 10/31/2015 Fri: 9:30 AM-2:00 PM;Sat: 9:30 AM-2:00 PM;,-77.201516,39.793992,"The Outlet Shoppes at Gettysburg-Center Gazebo Gettysburg, Pennsylvania 17325"
Adams County Farmers' Market Association - Fri & Sat at the Outlet Shoppes,http://acfarmersmarkets.org,05/08/2015 to 10/24/2015 Fri: 9:30 AM-2:00 PM;Sat: 9:30 AM-2:00 PM;,-77.1982277,39.7971202,"Baltimore  Pike and Gettysburg Village Drive Gettysburg, Pennsylvania 17325"
Adams Farmers' & Artisans' Market,,07/13/2014 to 09/14/2014 Sun: 11:00 AM-2:00 PM;,-73.118003,42.6244919,"Adams Visitors Center  3 Hoosac St Adams, Massachusetts 1220"
Adams Morgan Farmers Market,http://www.lickingcreekbendfarm.com,06/07/2014 to 12/20/2014 Sat: 8:00 AM-1:00 PM;,-77.042643,38.922637,"18th St. and Columbia Rd. NW Washington, District of Columbia 20009"
Adaptations' Fresh Feast,http://www.adaptationsaloha.com,01/01/2013 to 12/31/2013 Mon: 8:00 AM-4:00 PM;Tue: 8:00 AM-4:00 PM;Wed: 8:00 AM-4:00 PM;Thu: 8:00 AM-4:00 PM;Fri: 8:00 AM-4:00 PM;Sun: 12:00 PM-4:00 PM;,-155.923558,19.525757,"79-7500 Mamalahoa Highway Kealakekua, Hawaii 96750"
Added Value Farm Stand at Governors Island,,,-74.0231,40.6875,"Gresham Rd Brooklyn, New York 11231-1235"
Addison Farmers Market,,,-87.9934,41.9321,"One Friendship Plaza Addison, Illinois 60101"
Adel Farmers Market,,,-94.0175,41.6144,"Courthouse Square Adel, Iowa 50830"
Adelanto Stadium Farmers Market,,,-117.405,34.5593,"Hwy 395 & Rancho Drive Victorville, California 92392"
Adrian Farmers Market,,,-84.0351,41.9002,"115 Toledo Street Adrian, Michigan 49221"
Aenon Baptist Church Farm Stand,,Wed: 11:00 AM-2:00 PM;,-77.6360764,43.1466026,"175 Genesee Street Rochester, New York 14611"
Afton Village Farmers Market,http://www.piedmont-farmersmarket.com,01/01/2013 to 12/31/2013 Thu: 4:00 PM-7:00 PM;,-80.670172,35.414038,"5401 Village Dr Concord, North Carolina 28027"
AGH Wellness Committee Farmer's Market,,,-75.2113,38.3388,"9733 Healthway Drive Berlin, Maryland 21811"
Agricenter International Farmers Market,http://www.agricenter.org,05/01/2013 to 10/31/2013 Mon: 7:30 AM-5:30 PM;Tue: 7:30 AM-5:30 PM;Wed: 7:30 AM-5:30 PM;Thu: 7:30 AM-5:30 PM;Fri: 7:30 AM-5:30 PM;Sat: 7:00 AM-5:30 PM;,-89.801873,35.127315,"7777 Walnut Grove Road Memphis, Tennessee 38120"
Agritopia Farm Stand,http://www.agritopia.com,,-111.726,33.3219,"3000 E. Ray Road (Higley & Ray) Gilbert, Arizona 85233"
Ahwatukee Farmers Market,http://arizonacommunityfarmersmarkets.com,10/01/2013 to 05/04/2014 Sun: 9:00 AM-1:00 PM;,-111.983511,33.331116,"4700 E. Warner Rd. Phoenix, Arizona 85033"
Aiken County Farmers Market,http://www.VisitAikenSC.com,,-81.7084941,33.5568819,"897 Richland Avenue East Aiken, South Carolina 29801"
Airport Farmers and Flea Market,,01/01/2015 to 12/31/2015 Sat: 8:00 AM-3:00 PM;Sun: 8:00 AM-3:00 PM;,-82.441117,28.48114,"17375 Spring Hill Dr Brooksville, Florida 34604"
Akebono Farmers’ Market,,,-154.951,19.4975,"Akebono Parking Lot Pahoa, Hawaii "
Akers of Strawberries,,,-86.7014,30.7979,"1054 Melton Rd. Baker, Florida 32531"
Akron Farmers Market,,,-96.5573,42.8309,"City Park Akron, Iowa 51031"
Akwesasne Farmers Market,,,-74.6677,44.9739,"469 State Route 37, across from Akwesasne Sports Hogansburg, New York "
Alabama Gulf Coast Market,,10/04/2014 to 07/25/2015 Sat: 8:00 AM-12:00 PM;,-87.65585,30.250746,"22250 Perdido Beach Boulevard Gulf Shores, Alabama 36542"
Alachua County Farmers' Market,http://www.441market.com,01/01/2013 to 12/31/2013 Sun: 8:30 AM-1:00 PM;,-82.352515,29.710665,"5920 NW 13th Street Gainesville, Florida 32653"
Alamance County Farmers Market,,,-79.4357,36.0943,"200 S. Main St. Burlington, North Carolina 27215"
Alameda Farmers' Market,http://www.pcfma.com,01/01/2013 to 12/31/2013 Tue: 9:00 AM-1:00 PM;Sat: 9:00 AM-1:00 PM;,-122.276762,37.774248,"Haight and Webster St. Alameda, California "
Alamo Farmers Market,,05/21/2013 to Tue: 10:00 AM-5:00 PM;Wed: 10:00 AM-5:00 PM;Thu: 10:00 AM-5:00 PM;Fri: 10:00 AM-5:00 PM;Sat: 10:00 AM-5:00 PM;Sun: -5:00 PM;,-115.1435,37.33075,"Buckhorn Ranch Road Alamo, Nevada 89001"
Alamogordo Alameda Park Farmers' Market,,06/06/2015 to 11/14/2015 Mon: 9:00 AM-11:30 AM;Wed: 5:00 PM-6:30 PM;,-105.960635,32.913868,"1987 White Sands Blvd Alamogordo, New Mexico 88310"
Alamogordo Otero County Farmers' Market,http://farmersmarketsnm.org/Shoppers/FindMarket/find.php,01/04/2014 to 12/20/2014 Sat: 8:30 AM-12:00 PM;,-105.9606,32.92649,"401 Fairgrounds Rd Alamogordo, New Mexico "
Alamosa Farmers Market,http://www.alamosafarmersmarket.org,07/11/2015 to 10/10/2015 Sat: 8:00 AM-1:00 PM;,-105.865236,37.468359,"Corner of 6th Street and State Avenue's Municipal Parking Lot Alamosa, Colorado 81101"
Albany  Downtown Farmers Market,http://www.eastbaker.net,May to December Sat:8:00 AM - 2:00 PM;,-84.15366,31.57684,"Corner of W. Broad Ave. & N. Jackson St. Albany, Georgia 31702"
Albany Farmers' Market,http://www.locallygrown.org,04/18/2015 to 11/21/2015 Sat: 9:00 AM-1:00 PM;,-123.1061,44.6349,"4th Avenue & Ellsworth Street Albany, Oregon 97321"
Albert Lea Farmers Market,http://albertleafarmersmarket.com,05/13/2015 to 10/31/2015 Wed: 4:00 PM-6:00 PM;,-93.368932,43.650895,"104 North Broadway Albert Lea, Minnesota "
Alberta Farmers Market,,,-122.65,45.5591,"1500 NE Alberta Street Portland, Oregon 97211"
ALBERTA FARMERS MARKET,,,-87.4101,32.2319,"21724 Highway 5  ALBERTA, Alabama 36720"
Albion Farmer's Market,http://greateralbionchamber.org,05/03/2014 to 10/25/2014 Wed: 8:30 AM-1:00 PM;Sat: 8:30 AM-1:00 PM;,-84.751569,42.243544,"211 Market Place Albion, Michigan 49224"
Albuquerque Downtown Growers' Market,http://DowntownGrowers.com,05/17/2014 to 11/08/2014 Sat: 7:00 AM-12:00 PM;,-106.656893,35.085972,"800 Central Ave Albuquerque, New Mexico 87102"
Albuquerque Northeast Farmers' Market,http://www.abqnemarket.org,06/03/2014 to 09/30/2014 Tue: 3:00 PM-6:00 PM;,-106.55762,35.1506,"6400 Wyoming Blvd Albuquerque, New Mexico "
Albuquerque VA Growers' Market,,,-106.578,35.0553,"1501 San Pedro Drive SE Albuquerque, New Mexico "
Alcona Farmers Market,http://www.alconalocalfoods.org,June to September Sat:10:00 am - 1:00 pm;,-83.2973,44.6547,"320 S. State Steet   (US23) Harrisville, Michigan 48740"
Alderson Farmers Market,http://www.aldersonmarket.org,Sat: 8:00 AM-12:30 PM;,-80.642024,37.725954,"Rt. 3  Main Street Alderson, West Virginia 24910"
Aldrich Arena Farmers Market,http://www.stpaulfarmersmarket.com,,-93.0877,44.9609,"1850 White Bear Ave. Maplewood, Minnesota 55109"
Alexander City Downtown Market,http://www.mainstreetac.org,,-85.9549,32.9442,"Braod Street Alexander City, Alabama 35010"
Alexander County Farmers Market,,06/14/2014 to 09/13/2014 Sat: 8:00 AM-12:00 PM;,-81.178122,35.919748,"280 NC Hwy 16 South Taylorsville, North Carolina 28681"
Alexandria Bay Farmers Market,http://www.visitalexbay.org,05/23/2014 to 09/19/2014 Fri: 9:00 AM-3:00 PM;,-75.9157,44.3314,"Route 12 Alexandria Bay, New York 13607"
Alexandria Farmers' Market,http://www.mfma.org/alexandria,05/10/2014 to 10/25/2014 Sat: 9:00 AM-12:00 PM;,-95.376059,45.89074,"2nd and Broadway Alexandria, Minnesota 56308"
alfred farmers market,https://www.alfredfarmersmarket.com,Sun: 11:00 AM-3:00 PM;,-77.789505,42.253557,"Bandstand Main Street Alfred, New York 14802"
Algoma Farm Market,,,-87.4363,44.6077,"SECOND ST. & CLARK STREET Algoma, Wisconsin "
Algonquin Farmers Market,,,-88.293,42.165,"Washington St & S Harrison St. Algonquin, Illinois 60102"
Alii Garden Market Place,,,-155.982,19.6144,"75-6129 Alii Drive Kailua-Kona, Hawaii 96740"
Alisal Certified Farmers' Market,http://www.everyonesharvest.org,06/03/2014 to 09/30/2014 Tue: 11:00 AM-4:00 PM;,-121.634178,36.673319,"632 East Alisal Street Salinas, California 93905"
All Locally Grown Produce,http://www.teenaspridecsa.com,11/01/2014 to 05/01/2015 Sun: 1:00 AM-4:00 AM;,-80.508789,25.51147,"20025 SW 270 Street Homestead, Florida 33031"
All Saints' Farmers Market,,05/04/2014 to 10/26/2014 Sun: 12:00 PM-4:00 PM;,-89.890478,35.090458,"1508 S. White Station Memphis, Tennessee 38117"
All-Local Farmers Market,http://www.stateplate.org,,-81.0358,33.9847,"711 Whaley St Columbia, South Carolina 29205"
All-Local Farmers Market 2,http://www.localharvest.org,,-81.0044,33.9874,"Rosewood market on Rosewood Drive at Maple Street Columbia, South Carolina "
Allamakee Farmers Market,,Mon: 3:30 AM-6:00 AM;,-91.4742,43.2569,"1013 Rossville Road Waukon, Iowa 52172"
Allegan Farmers Market,,,-85.8584,42.5287,"Water & Cutler Allegan, Michigan 49010"
Alleghany Farmers Market,http://www.alleghanyfarmersmarket.com,05/11/2013 to 10/12/2013 Sat: 9:00 AM-1:00 PM;,-81.122593,36.503003,"HWY 18 N Sparta, North Carolina 28675"
Allen County Farmers' Market,,April to October Thu:5:30 PM - 7:00 PM;,-95.4055011,37.922165,"4-20 S. Washington St. Iola, Kansas 66749"
Allen Street Farmers Market,http://www.allenmarketplace.org/farmers-market/,01/01/2014 to 12/31/2014 Wed: 2:30 PM-7:00 PM;,-84.527155,42.730056,"1619 E. Kalamazoo Lansing, Michigan 48912"
Allendale County Farmers Market,,,-81.3191,33.0044,"Corner of Bay Street & US Highway 301 Allendale, South Carolina 29810"
Allentown Farigrounds Farmers Market,http://www.fairgroundsfarmersmkt.com,,-75.4942,40.6008,"1825 Chew Street Allentown, Pennsylvania 18104"
Allentown Turnpike Plaza Farmers Market,,,-79.7254,40.6218,"Route 9 Allentown, Pennsylvania 18104"
Alliance Farmers Market,,,-102.871,42.0971,"3rd & Box Butte Ave. Alliance, Nebraska 69301"
Alliance Farmers' Market,http://www.alliancefarmersmarket.com,06/15/2013 to 10/12/2013 Sat: 9:00 AM-12:00 PM;,-81.1024,40.9216,"Corner of E. Main St. and Mechanic Ave. Alliance, Ohio 44601"
Alliance for the Arts GreenMarket,http://www.artinlee.org,Sat: 9:00 AM-1:00 PM;,-81.89128,26.59521,"10091 McGregor Boulevard Ft. Myers, Florida 33919"
Allston Farmers' Market,http://www.dining.harvard.edu/flp/ag_market.html,06/01/2012 to 10/31/2012,-71.1299,42.3629,"175 North Harvard Street Allston, Massachusetts 2134"
Allston Village Farmers Market,http://www.allstonbrightoncdc.org/,05/18/2013 to 10/26/2013 Sat: 11:00 AM-3:00 PM;,-71.1378418,42.353384,"500 Cambridge St. Boston, Massachusetts 2134"
Alma Farmers Market,,,-99.3625,40.1008,"City Auditorium on Main Street, Downtown Alma, Nebraska 68920"
Alma Farmers' Market,,05/04/2013 to 10/31/2013 Wed: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;,-84.656984,43.3802699,"Pine & Downie Streets Alma, Michigan 48801"
Almont Farmers' Market,http://www.almontfarmersmarket.com,,-83.0475,42.9216,"Van Dyke at School Street (northwest corner) Almont, Michigan "
Aloha Farmers Market,http://www.alohafarmersmarket.com,,-122.87,45.4941,"18631 SW Tualatin Valley Hw Aloha, Oregon 97007"
Alpena Farmers' Market,http://alpenafarmersmarket.org,01/01/2014 to 12/31/2014 Wed: 8:00 AM-1:00 PM;Sat: 8:00 AM-1:00 PM;,-83.430998,45.061878,"208 N 1st Ave. Alpena, Michigan 49707"
Alpha Nursery Farmers' Market,http://www.alpha-nursery.com,06/19/2013 to 09/28/2013 Wed: 10:00 AM-5:00 PM;,-115.998,44.4251,"12 Alpha Lane, Cascade, Idaho 83611"
Alsip Farmers Market,http://www.alsipparks.org,06/10/2014 to 10/14/2014 Tue: 3:00 PM-7:00 PM;,-87.727804,41.664913,"12521 S. Kostner Avenue Alsip, Illinois 60803"
Altadena Farmers' Market,http://www.altadenafarmersmarket.com,01/08/2014 to 03/05/2014 Wed: 3:00 PM-7:00 PM;,-118.1581301,34.2003788,"600 W. Palm Street Altadena, California 91001"
